Meal_Name,Meal_Type,Calories_kcal,Protein_g,Carbs_g,Fats_g
Curry Salad,Snack,559,44.2,19.9,27.1
Herb Fish,Dinner,691,15.9,116.0,20.5
Mild Rajma,Lunch,450,11.3,33.8,6.8
Grilled Upma,Lunch,765,26.0,84.2,9.4
Garlic Sprouts,Dinner,346,9.1,119.2,7.6
Classic Soup,Dinner,189,43.5,37.6,37.8
Herb Idli,Snack,524,5.0,31.7,30.9
Mild Paneer,Lunch,532,26.7,119.7,16.6
Curry Upma,Snack,496,43.3,112.3,6.3
Tandoori Chole,Dinner,198,42.3,37.2,12.1
Fried Salad,Snack,346,11.0,81.8,38.8
Roasted Tofu,Lunch,596,41.9,73.5,29.7
Roasted Tofu,Breakfast,407,41.1,65.7,10.3
Low Fat Smoothie,Breakfast,288,44.4,13.2,16.5
Grilled Tofu,Snack,551,26.8,111.5,36.2
Herb Rajma,Breakfast,572,34.1,90.8,5.5
Low Fat Brown Rice,Dinner,650,5.1,41.5,35.8
Garlic Paratha,Lunch,338,8.4,14.2,18.4
Low Fat Soup,Breakfast,649,39.7,56.4,34.6
Fried Fish,Dinner,475,23.8,106.8,32.7
Grilled Egg,Lunch,244,16.9,96.4,18.6
Steamed Paratha,Dinner,716,22.6,54.4,7.2
Garlic Sandwich,Lunch,690,49.3,36.0,36.6
Steamed Smoothie,Lunch,605,37.6,111.6,17.3
Garlic Soya,Snack,786,22.8,104.9,24.2
High Protein Quinoa,Breakfast,601,36.9,20.6,36.9
Roasted Dal,Dinner,217,12.4,32.5,16.0
Grilled Chicken,Dinner,517,45.0,49.4,14.1
Classic Chicken,Dinner,714,37.8,99.4,36.3
Vegan Salad,Breakfast,417,22.0,109.3,35.4
Curry Chicken,Snack,454,16.6,43.0,14.9
High Protein Salad,Breakfast,735,14.3,83.1,13.5
Curry Paratha,Snack,674,49.4,91.1,17.0
Fried Soya,Snack,227,39.9,16.0,5.4
Herb Idli,Snack,342,19.7,84.0,27.7
Fried Idli,Snack,300,42.2,52.4,11.0
Classic Tofu,Snack,713,29.7,72.0,7.9
Garlic Upma,Dinner,724,46.6,70.2,39.6
Dry Rajma,Dinner,544,30.0,60.0,30.3
Butter Sandwich,Snack,684,37.6,11.6,38.4
Curry Brown Rice,Dinner,261,26.2,110.5,29.6
Spicy Roti,Snack,490,5.3,117.7,24.4
Dry Dosa,Lunch,351,42.6,52.9,27.8
Herb Salad,Breakfast,254,38.6,108.1,22.8
Masala Pulao,Snack,637,14.0,81.9,21.0
Garlic Chole,Snack,472,30.2,77.2,25.1
Grilled Oats,Lunch,741,34.1,76.6,35.5
Herb Smoothie,Snack,191,10.7,90.7,29.3
Masala Chole,Breakfast,499,40.9,99.0,9.3
Butter Chole,Snack,295,21.9,67.1,6.4
Steamed Paneer,Breakfast,469,43.7,60.4,25.4
Tandoori Pulao,Dinner,347,10.8,110.2,37.7
Tandoori Paratha,Breakfast,209,7.0,65.1,26.1
Roasted Sprouts,Snack,773,10.0,78.2,15.9
Herb Chole,Lunch,602,20.0,51.3,26.4
Spicy Khichdi,Lunch,385,17.4,69.6,39.6
Masala Chicken,Breakfast,402,15.5,20.5,19.7
Masala Fish,Snack,191,35.0,115.6,21.1
Steamed Smoothie,Snack,450,7.9,76.6,24.8
Mild Paratha,Breakfast,486,40.4,94.8,23.7
Low Fat Soup,Snack,352,17.8,91.0,16.5
Dry Soya,Dinner,199,9.1,94.3,6.1
Dry Dosa,Snack,762,46.1,79.6,16.6
Grilled Sandwich,Snack,488,31.4,36.1,24.1
Roasted Chole,Breakfast,519,43.0,108.3,26.9
Garlic Chole,Dinner,430,14.2,63.5,34.8
Grilled Sprouts,Snack,546,31.6,24.1,29.1
Dry Oats,Dinner,772,35.8,38.5,15.1
Garlic White Rice,Breakfast,158,36.8,29.8,18.3
Herb Paneer,Dinner,529,17.6,69.9,7.7
Tandoori Pulao,Breakfast,270,35.7,102.4,5.4
Vegan Soup,Lunch,286,32.9,51.5,17.3
Spicy Chole,Lunch,712,27.2,25.8,38.8
Garlic Roti,Dinner,596,34.6,63.8,31.6
High Protein Smoothie,Breakfast,242,8.3,88.0,19.8
Classic Lentil,Snack,256,36.1,112.9,27.7
Herb Soup,Lunch,265,46.7,66.3,39.9
Steamed Sprouts,Breakfast,741,5.3,52.1,6.6
Masala Soya,Breakfast,425,14.2,41.5,18.4
Spicy White Rice,Lunch,710,15.7,51.1,21.4
Garlic Dal,Breakfast,252,28.7,68.0,12.2
Mild Brown Rice,Snack,571,11.6,118.5,30.8
Garlic White Rice,Breakfast,394,34.5,32.7,15.8
Spicy Upma,Snack,402,23.3,62.9,18.3
Spicy Roti,Breakfast,253,41.1,57.3,37.2
Herb Tofu,Lunch,157,23.2,79.8,16.9
Dry Fish,Dinner,351,25.0,30.6,8.7
Low Fat Sandwich,Breakfast,443,14.7,55.0,22.1
Roasted Soup,Snack,249,44.6,21.5,16.7
Low Fat Smoothie,Dinner,434,39.4,12.3,18.4
Low Fat Upma,Dinner,484,12.4,69.8,11.6
Low Fat Chicken,Breakfast,640,50.0,71.3,15.8
Classic Mushroom,Lunch,380,13.9,13.5,21.7
Roasted Paneer,Breakfast,389,33.7,80.7,37.8
Masala Chole,Snack,347,28.5,80.3,37.3
Curry Biryani,Snack,791,10.6,118.3,11.2
Spicy Tofu,Breakfast,655,49.2,16.2,34.9
Steamed Paneer,Snack,499,9.1,55.0,27.2
Curry Sandwich,Dinner,537,42.4,27.6,39.8
Fried Quinoa,Lunch,322,49.2,30.2,10.6
Curry Roti,Lunch,403,13.6,46.6,14.3
High Protein Quinoa,Lunch,165,40.1,85.9,38.2
Curry Chole,Lunch,166,13.3,69.1,19.5
Fried Soya,Dinner,782,17.1,39.4,7.8
Dry Chicken,Dinner,391,39.4,92.5,9.3
Fried Dal,Breakfast,233,45.2,70.4,22.5
Grilled Quinoa,Snack,529,34.5,57.5,21.3
Fried Poha,Dinner,199,48.8,99.7,7.2
Herb Chicken,Breakfast,708,32.9,48.6,36.1
Tandoori Salad,Dinner,231,34.7,101.3,9.5
Butter Dal,Lunch,447,49.6,93.4,15.7
Mild Oats,Breakfast,698,21.3,29.4,14.8
Garlic Sprouts,Dinner,470,27.7,53.8,28.5
Steamed Dosa,Lunch,209,43.2,24.8,27.6
Roasted Dosa,Lunch,597,9.7,43.9,23.2
Mild Paratha,Dinner,253,33.5,79.0,30.2
Garlic Lentil,Snack,417,38.9,71.6,7.9
Vegan Chole,Lunch,452,23.1,101.1,8.5
Low Fat Quinoa,Snack,253,14.7,33.9,11.2
Spicy Dal,Breakfast,550,34.4,15.3,22.6
Butter Soya,Dinner,403,47.5,55.4,38.1
Butter Dal,Dinner,720,10.3,39.3,32.7
Masala Sprouts,Dinner,383,20.5,109.0,9.1
Curry Sandwich,Snack,457,5.3,52.0,13.4
High Protein Chole,Dinner,524,45.9,39.0,11.9
High Protein Upma,Dinner,417,29.7,72.8,17.8
Masala Mushroom,Snack,400,17.2,84.6,24.6
Fried Sprouts,Lunch,569,25.5,112.4,36.7
Spicy Pulao,Snack,270,23.4,98.9,27.6
Fried Paratha,Breakfast,754,36.8,93.1,35.1
Dry Poha,Snack,434,17.8,29.6,30.6
Herb Chicken,Breakfast,588,13.9,47.7,8.6
Tandoori Quinoa,Lunch,161,34.7,30.6,12.7
Spicy Rajma,Lunch,358,10.0,84.9,25.2
Fried Paneer,Dinner,589,22.6,81.0,36.3
Steamed Egg,Lunch,153,5.8,57.4,11.9
Steamed Salad,Dinner,525,28.4,52.5,33.0
Dry Paratha,Dinner,504,38.2,56.1,16.4
High Protein Fish,Snack,384,24.4,59.6,28.9
Low Fat Brown Rice,Lunch,295,47.8,25.4,34.8
Vegan Pulao,Lunch,185,19.9,16.0,9.3
Steamed Rajma,Breakfast,664,11.2,89.5,22.4
Tandoori Chole,Breakfast,500,40.1,56.9,28.9
Tandoori White Rice,Lunch,648,27.5,10.8,37.2
Mild Paneer,Dinner,701,45.4,101.7,23.8
Vegan Quinoa,Lunch,713,25.8,82.5,33.0
Butter Upma,Snack,325,38.9,27.2,18.3
Grilled Quinoa,Snack,800,5.1,88.2,13.7
Classic Lentil,Snack,408,13.6,19.0,5.4
Herb Dosa,Dinner,616,41.5,64.7,6.0
Roasted Tofu,Lunch,589,15.5,60.1,15.8
Herb Poha,Lunch,532,49.5,35.9,17.4
Roasted Rajma,Dinner,725,25.0,119.3,6.2
Dry Rajma,Dinner,604,19.2,18.1,24.1
Low Fat Sprouts,Snack,565,16.8,28.6,26.7
Classic Egg,Lunch,333,9.7,93.7,38.0
Tandoori Upma,Lunch,219,48.6,109.9,13.9
Steamed Lentil,Snack,721,45.8,30.9,9.4
Steamed Pulao,Breakfast,210,36.3,22.6,18.8
Grilled Rajma,Dinner,768,36.3,44.9,24.7
Garlic Mushroom,Breakfast,655,25.6,82.7,27.6
Curry Sandwich,Dinner,378,44.7,101.1,16.2
Mild Mushroom,Breakfast,657,36.7,113.4,30.7
Spicy Chicken,Lunch,221,21.5,11.2,11.1
Grilled Tofu,Snack,752,27.3,110.9,32.6
Vegan Lentil,Lunch,627,33.6,110.6,39.1
Spicy Oats,Dinner,762,20.3,60.4,14.2
Spicy Mushroom,Dinner,678,32.7,31.9,20.4
Dry Sprouts,Snack,615,27.8,104.9,22.2
High Protein Chole,Dinner,290,19.7,14.7,19.4
Classic Chicken,Breakfast,327,12.4,13.3,6.2
Mild Chicken,Snack,326,46.8,61.2,20.5
Roasted Sandwich,Snack,305,10.2,88.6,7.9
Tandoori Tofu,Breakfast,296,49.7,45.8,15.3
Steamed Chole,Snack,193,32.4,27.3,29.2
Garlic Pulao,Breakfast,581,39.4,75.5,24.9
Garlic Dosa,Lunch,744,14.5,91.7,27.4
Roasted Khichdi,Breakfast,476,15.7,44.5,31.0
Roasted White Rice,Lunch,543,34.6,106.1,25.5
Spicy Roti,Lunch,651,31.9,44.9,10.4
Curry Rajma,Breakfast,545,17.4,77.5,15.9
Spicy Soup,Snack,593,19.1,22.2,19.7
Steamed Smoothie,Lunch,405,8.1,39.2,5.6
Steamed Sandwich,Lunch,183,34.4,37.3,31.0
Curry White Rice,Snack,480,46.0,80.6,23.6
Tandoori Smoothie,Lunch,648,9.4,88.8,31.9
Dry Quinoa,Dinner,342,27.7,107.7,19.2
Fried Lentil,Snack,323,6.2,110.7,23.1
Mild Pulao,Lunch,647,48.5,36.9,16.4
Butter Quinoa,Dinner,564,29.4,28.4,28.9
Tandoori Idli,Breakfast,281,41.9,86.7,18.1
Grilled Mushroom,Snack,349,49.7,78.4,9.0
Dry Paneer,Lunch,742,16.1,74.5,26.6
Spicy Lentil,Breakfast,515,24.8,95.2,30.2
Curry Mushroom,Snack,549,11.5,17.0,6.8
Garlic Dal,Lunch,556,28.1,78.1,37.1
Curry Rajma,Dinner,561,43.1,58.4,24.5
Mild Upma,Snack,246,26.7,40.7,37.6
Steamed Brown Rice,Breakfast,754,48.7,93.6,21.2
Curry Paneer,Dinner,794,8.8,57.7,5.6
Fried Paneer,Lunch,292,29.5,25.5,6.3
Butter Salad,Lunch,266,21.1,74.1,18.3
Tandoori Salad,Lunch,646,20.1,54.7,6.6
Low Fat Roti,Dinner,722,28.1,43.7,20.8
Roasted Soya,Snack,679,42.7,112.5,24.8
Steamed Chicken,Lunch,294,49.5,119.9,7.3
Fried Oats,Lunch,227,16.0,56.3,9.6
Masala Soup,Breakfast,600,48.8,111.8,38.6
Classic Quinoa,Breakfast,259,46.3,109.5,39.6
Masala Poha,Dinner,439,44.9,88.6,39.2
Garlic Mushroom,Snack,723,27.3,105.7,13.8
Fried Salad,Breakfast,527,28.7,86.1,6.8
Spicy Lentil,Lunch,786,46.0,34.9,9.6
Low Fat Smoothie,Lunch,162,29.0,82.1,33.9
Curry Tofu,Dinner,462,28.6,117.3,28.3
Spicy Egg,Dinner,753,12.2,115.6,26.0
Spicy Chole,Breakfast,183,47.3,88.8,21.8
Curry Soup,Lunch,584,7.0,74.9,21.7
Classic Sprouts,Lunch,782,39.2,12.5,39.7
Vegan Egg,Dinner,493,29.4,24.2,30.3
Fried Sandwich,Breakfast,303,8.0,32.8,33.5
Mild Tofu,Breakfast,193,16.8,34.1,5.8
Mild Soup,Lunch,630,40.0,39.6,30.7
Grilled Smoothie,Lunch,711,28.7,82.0,22.2
Spicy Tofu,Lunch,650,47.1,76.9,9.3
Vegan Quinoa,Lunch,263,29.9,29.2,28.4
Low Fat Poha,Dinner,602,50.0,86.2,38.9
Mild Upma,Snack,342,26.0,115.5,33.9
High Protein Khichdi,Dinner,796,20.9,118.6,8.3
Dry Paneer,Lunch,191,48.3,14.2,38.3
Classic Dosa,Dinner,638,5.8,54.7,36.3
Curry Lentil,Snack,173,11.4,28.6,29.6
Fried Roti,Lunch,658,26.0,28.9,19.3
Curry Oats,Dinner,288,46.4,43.2,7.0
Masala Smoothie,Breakfast,311,8.6,19.5,38.6
Vegan Brown Rice,Snack,258,29.1,114.5,14.2
Vegan Quinoa,Lunch,184,41.3,23.0,22.1
Fried Dal,Dinner,510,43.2,29.0,7.3
Spicy Paratha,Snack,595,36.0,49.3,7.5
Dry Upma,Dinner,721,34.4,26.5,11.5
Vegan Fish,Lunch,607,33.8,107.4,5.0
Mild Dal,Lunch,601,19.5,28.3,39.3
Low Fat Lentil,Lunch,462,25.7,51.3,6.0
Curry Khichdi,Breakfast,777,26.2,63.3,8.1
Classic Soup,Snack,376,47.0,28.2,11.4
Butter Mushroom,Breakfast,468,18.1,81.4,25.4
Garlic Rajma,Snack,186,16.6,33.3,17.1
Spicy Mushroom,Breakfast,238,32.1,24.0,22.6
Curry Soya,Breakfast,352,22.9,24.1,6.7
Spicy Soup,Snack,737,11.1,88.2,36.7
Masala Quinoa,Dinner,209,23.4,47.9,21.6
Grilled Brown Rice,Lunch,534,36.3,44.6,26.4
Dry Paneer,Dinner,514,23.7,51.7,30.1
Steamed Salad,Dinner,481,28.2,41.2,32.8
Herb Upma,Breakfast,388,10.6,84.2,6.6
Fried Soup,Lunch,351,24.7,42.4,29.7
Classic Tofu,Snack,289,11.6,13.5,13.0
Low Fat White Rice,Lunch,669,9.9,16.1,39.2
Butter Rajma,Dinner,487,31.1,26.5,18.6
Fried Oats,Lunch,627,42.9,61.9,6.5
Tandoori Chicken,Lunch,330,12.2,111.3,40.0
Grilled White Rice,Lunch,313,31.0,34.4,13.6
Dry Lentil,Lunch,719,44.2,32.3,11.9
Steamed Chole,Lunch,384,43.3,28.5,6.5
Classic Rajma,Snack,180,30.6,70.0,38.9
Classic Khichdi,Lunch,401,9.1,59.4,28.7
Roasted Oats,Breakfast,788,28.4,73.4,9.8
Dry Khichdi,Dinner,401,39.3,85.8,28.4
Classic Paratha,Dinner,386,28.5,81.3,33.1
High Protein Salad,Snack,600,19.8,93.5,10.5
Steamed Poha,Lunch,682,41.1,31.5,23.5
Low Fat Sandwich,Dinner,711,24.5,27.2,32.3
Dry Tofu,Snack,322,46.9,70.7,38.7
High Protein Dosa,Lunch,517,46.1,82.8,21.4
Vegan Roti,Dinner,277,29.6,28.1,12.9
Grilled Rajma,Dinner,493,13.8,114.5,29.2
Tandoori Mushroom,Breakfast,385,32.3,89.5,37.5
Fried Quinoa,Dinner,576,5.2,47.6,25.3
Classic Quinoa,Lunch,330,12.6,34.9,12.9
Vegan Mushroom,Snack,483,37.4,33.8,9.6
Garlic Dal,Lunch,672,20.3,69.4,7.1
Mild Biryani,Dinner,579,16.7,48.8,24.5
Butter Sprouts,Dinner,469,26.7,27.3,39.5
Roasted Mushroom,Snack,496,31.3,108.6,30.8
Low Fat Paneer,Dinner,787,44.4,39.1,28.7
Roasted Soup,Breakfast,361,16.2,118.0,29.6
Fried Biryani,Snack,618,44.2,63.2,38.4
Herb White Rice,Dinner,405,8.2,65.4,12.3
Grilled Paratha,Lunch,579,21.5,16.1,35.4
Mild Roti,Lunch,343,30.9,88.7,29.3
Curry Rajma,Dinner,458,46.5,106.5,12.2
Grilled Chole,Snack,748,46.4,25.5,17.4
Steamed Dosa,Lunch,586,48.8,42.9,40.0
High Protein Brown Rice,Dinner,604,25.9,53.8,37.3
High Protein Soup,Snack,217,6.9,90.2,14.9
Classic Idli,Snack,413,42.5,99.8,34.6
Spicy White Rice,Dinner,375,46.0,115.5,11.2
Vegan Quinoa,Breakfast,597,41.2,91.7,19.3
Classic Smoothie,Lunch,634,17.0,83.1,36.8
Steamed Biryani,Snack,317,39.8,57.7,38.4
Fried Mushroom,Lunch,695,37.2,56.1,27.6
Vegan Rajma,Lunch,674,48.5,92.0,23.8
Curry Idli,Snack,703,12.7,82.7,37.9
Curry Paneer,Breakfast,163,15.8,38.2,18.7
Vegan Sandwich,Dinner,212,38.4,91.2,35.5
Garlic Chole,Snack,651,35.1,118.4,8.0
Vegan Sprouts,Lunch,419,47.8,92.8,23.1
Steamed White Rice,Dinner,720,12.5,90.7,9.7
High Protein Smoothie,Breakfast,383,17.1,31.1,22.6
Grilled Sandwich,Breakfast,797,48.0,71.3,9.9
Grilled Poha,Breakfast,468,26.7,103.3,23.2
Steamed Salad,Snack,245,31.3,76.4,33.8
Steamed Smoothie,Lunch,305,33.0,96.4,8.9
Dry Oats,Lunch,398,42.5,77.1,27.5
Curry Paratha,Breakfast,705,14.6,114.4,33.3
Roasted Dal,Breakfast,622,27.4,107.2,7.1
Steamed Sprouts,Lunch,639,42.4,23.0,24.4
Classic Dosa,Breakfast,718,26.8,102.4,19.0
Low Fat Dosa,Breakfast,183,49.7,108.8,15.2
Fried Paneer,Snack,202,17.2,107.7,18.9
Herb Soya,Lunch,456,37.2,18.5,5.1
Vegan Chicken,Dinner,198,24.5,65.9,33.6
Mild Oats,Breakfast,485,45.8,11.1,21.4
Spicy Rajma,Snack,462,29.3,72.1,18.5
Herb Soup,Lunch,654,13.0,70.3,38.3
Grilled Soup,Lunch,457,42.1,79.3,5.1
Fried Tofu,Breakfast,733,38.8,22.7,28.3
Grilled Pulao,Snack,759,14.2,116.8,34.5
Roasted Pulao,Dinner,491,35.5,52.9,19.1
Butter Poha,Dinner,758,22.5,95.4,11.2
Butter Idli,Snack,417,12.9,53.9,19.3
High Protein Mushroom,Lunch,447,7.4,80.9,21.3
Low Fat Rajma,Snack,596,14.5,11.8,14.0
Fried Poha,Snack,296,5.5,83.1,28.5
Masala Mushroom,Breakfast,775,36.8,117.2,20.3
Garlic Paratha,Dinner,397,15.6,114.9,21.9
Spicy Lentil,Dinner,356,19.4,13.6,9.0
Classic Salad,Dinner,543,42.0,54.6,39.9
Fried Smoothie,Breakfast,608,25.8,82.8,30.6
Roasted Fish,Lunch,797,28.7,68.4,28.2
Roasted Soya,Lunch,176,31.7,63.2,29.9
Grilled Sandwich,Dinner,184,32.3,81.4,30.6
Masala Pulao,Lunch,693,37.4,94.9,21.9
Butter Rajma,Dinner,230,16.9,54.0,5.6
Roasted Roti,Lunch,591,38.7,54.8,20.5
Garlic Mushroom,Snack,467,15.4,105.2,9.4
Vegan Pulao,Lunch,478,14.6,106.3,36.8
Masala Mushroom,Snack,431,31.2,27.8,13.4
Curry Quinoa,Breakfast,207,9.8,70.6,20.5
Garlic Smoothie,Dinner,612,40.3,41.5,37.6
Fried Sandwich,Snack,578,21.6,57.3,34.2
Low Fat Pulao,Breakfast,732,30.0,95.0,28.6
Classic Chicken,Lunch,558,25.8,70.6,11.4
Classic Soup,Lunch,629,15.5,110.8,27.7
Mild Chicken,Breakfast,258,31.6,66.4,22.0
Grilled White Rice,Dinner,613,42.4,28.1,36.7
Classic Salad,Lunch,285,15.0,104.4,11.8
Tandoori Lentil,Breakfast,177,11.8,39.0,15.8
Mild Paneer,Breakfast,214,31.5,12.7,33.1
Spicy Quinoa,Dinner,774,9.8,17.1,36.8
Tandoori Chicken,Lunch,536,10.6,90.4,15.1
Tandoori Rajma,Breakfast,348,12.9,88.0,17.9
Fried Chole,Breakfast,350,46.4,112.0,34.8
Classic Chicken,Lunch,557,6.4,105.2,26.8
Fried Chole,Breakfast,376,5.2,86.8,28.4
Dry Idli,Snack,536,7.5,119.7,20.2
Tandoori Paratha,Breakfast,754,44.2,85.1,8.4
Grilled Lentil,Dinner,319,9.1,31.8,11.7
Curry Dal,Breakfast,800,43.5,51.7,9.0
Vegan Quinoa,Lunch,421,19.4,65.4,30.1
Classic Khichdi,Lunch,251,12.5,12.9,23.0
Steamed Mushroom,Lunch,155,16.5,34.4,35.8
Vegan Oats,Breakfast,684,48.7,16.2,36.3
Curry Poha,Dinner,741,13.7,13.5,35.0
Masala Sandwich,Lunch,676,34.4,117.9,24.2
Low Fat Paneer,Breakfast,355,7.5,45.0,18.8
Grilled Roti,Snack,644,8.6,13.4,27.9
Classic Khichdi,Lunch,767,31.8,92.0,8.6
Classic Poha,Dinner,378,17.4,76.0,39.8
Low Fat White Rice,Breakfast,397,37.1,68.0,20.7
High Protein Mushroom,Breakfast,548,19.8,13.9,28.6
Spicy Brown Rice,Dinner,682,41.4,109.5,36.9
Mild Idli,Lunch,666,41.0,11.1,6.7
Mild Oats,Breakfast,334,19.9,26.7,14.1
Masala Soya,Lunch,161,48.2,96.3,17.4
Steamed Paneer,Lunch,293,41.1,39.5,37.3
Mild Idli,Breakfast,385,13.8,53.9,27.8
Garlic Soya,Breakfast,462,14.0,17.8,8.3
Low Fat Egg,Breakfast,766,43.8,39.0,11.5
Garlic Tofu,Breakfast,635,41.9,38.3,20.9
Dry White Rice,Snack,735,5.6,98.8,32.7
Grilled Upma,Dinner,680,32.6,83.1,33.1
Vegan Oats,Lunch,210,6.9,82.9,27.8
Fried Sprouts,Snack,591,7.8,12.7,18.6
Fried Dosa,Snack,487,6.0,106.9,7.4
Vegan Quinoa,Lunch,740,32.7,41.1,35.6
Curry Roti,Lunch,516,5.4,77.4,26.5
Vegan Sandwich,Lunch,364,45.8,16.0,38.8
Herb Paratha,Breakfast,476,42.5,119.8,7.0
Masala Smoothie,Lunch,795,42.7,62.8,36.0
Vegan Sandwich,Breakfast,310,10.7,58.3,19.9
Vegan Rajma,Lunch,315,19.9,11.7,32.6
Tandoori Paratha,Lunch,244,31.4,98.3,20.3
High Protein Dosa,Dinner,280,36.3,89.9,17.6
Garlic Poha,Breakfast,738,13.4,78.8,26.9
Mild Brown Rice,Dinner,390,41.6,88.5,24.2
Garlic Dosa,Lunch,181,49.0,90.2,8.1
Low Fat Paratha,Dinner,680,43.0,44.5,12.3
Low Fat Biryani,Lunch,637,46.6,81.6,7.0
High Protein Oats,Dinner,352,20.8,113.2,29.2
Mild Rajma,Breakfast,512,33.5,115.0,8.1
Masala Upma,Dinner,669,6.0,57.7,11.2
Tandoori Dosa,Lunch,572,47.5,86.7,6.9
Tandoori Roti,Lunch,574,9.6,20.1,28.8
Curry Salad,Lunch,159,26.1,56.2,32.3
Dry Pulao,Snack,271,5.3,34.6,32.2
Grilled Brown Rice,Lunch,218,19.0,56.1,8.1
Herb Sprouts,Breakfast,457,10.6,45.5,39.4
Classic Soup,Snack,207,16.3,41.5,36.9
Classic Dal,Dinner,602,13.1,56.9,35.6
High Protein Rajma,Breakfast,697,33.3,97.2,29.9
Garlic Khichdi,Dinner,185,30.2,118.6,37.5
Grilled Sprouts,Dinner,489,43.5,93.4,31.5
Grilled Soya,Dinner,579,33.1,42.3,11.0
Vegan Brown Rice,Lunch,603,19.2,73.0,24.5
Curry White Rice,Breakfast,660,7.2,119.4,18.6
Vegan Sprouts,Breakfast,212,47.0,85.6,39.7
Low Fat Fish,Dinner,335,9.3,10.9,37.7
Dry Fish,Breakfast,512,13.8,72.6,12.1
Tandoori Brown Rice,Snack,154,20.2,32.3,24.7
Fried Khichdi,Snack,398,25.5,119.4,9.5
Steamed Chole,Lunch,321,19.5,17.3,33.0
Vegan Smoothie,Snack,465,29.3,71.7,5.8
High Protein Smoothie,Dinner,226,37.0,94.7,38.0
Masala Upma,Lunch,290,26.0,30.8,26.3
Grilled Idli,Snack,567,13.1,104.8,34.6
Herb Quinoa,Lunch,265,10.3,26.3,32.3
Steamed Khichdi,Snack,733,11.8,18.1,19.4
High Protein Paneer,Breakfast,223,28.2,34.9,20.7
Curry Brown Rice,Dinner,179,47.0,110.2,8.0
Herb Sprouts,Snack,237,25.6,117.7,37.3
Spicy Fish,Lunch,729,13.9,58.4,9.2
Classic Soup,Snack,778,19.6,63.1,27.9
Fried Egg,Snack,237,12.7,82.0,30.9
Roasted Biryani,Lunch,639,21.0,49.4,15.3
Steamed Upma,Snack,259,31.1,89.6,6.2
Grilled White Rice,Dinner,270,39.7,38.7,8.3
Herb Chole,Breakfast,717,42.9,35.0,22.2
Vegan Paratha,Breakfast,433,7.1,52.7,25.5
Spicy Smoothie,Lunch,213,30.7,41.5,33.1
Tandoori Khichdi,Breakfast,729,28.2,109.6,27.6
Low Fat Khichdi,Dinner,584,34.8,82.7,29.9
Tandoori Mushroom,Lunch,350,32.4,119.9,33.2
Dry White Rice,Breakfast,341,23.6,110.9,15.2
Tandoori Roti,Lunch,379,47.7,117.2,14.3
Garlic Dosa,Snack,723,5.6,26.2,9.6
High Protein Sprouts,Lunch,434,30.3,27.4,10.6
Classic Paratha,Dinner,453,20.0,101.9,34.4
Curry Brown Rice,Lunch,486,18.8,22.6,17.4
Vegan Soya,Snack,469,22.0,49.4,8.0
Low Fat Biryani,Lunch,648,48.5,74.9,18.3
Fried Dosa,Dinner,406,37.3,106.8,14.6
Mild Idli,Lunch,703,11.5,72.7,7.2
Garlic Idli,Lunch,367,43.8,118.9,19.8
Masala Paneer,Lunch,333,11.7,88.1,36.7
Tandoori Khichdi,Lunch,598,6.8,43.5,5.9
Curry Oats,Dinner,675,44.4,30.1,10.4
High Protein Chicken,Breakfast,469,36.0,18.2,16.3
Spicy Lentil,Dinner,552,25.1,93.5,32.5
Grilled Paneer,Breakfast,415,32.1,22.5,6.2
Masala Paneer,Lunch,319,46.8,71.1,39.2
Roasted Chole,Snack,598,6.2,74.7,23.7
Masala Brown Rice,Lunch,661,29.9,70.4,34.0
High Protein Dosa,Lunch,243,15.4,81.1,26.2
Grilled Sprouts,Breakfast,177,14.0,112.6,36.8
Mild Mushroom,Lunch,620,48.9,103.4,24.3
Dry Sprouts,Snack,560,42.9,77.0,20.8
Tandoori Oats,Snack,549,39.5,78.3,17.1
Spicy White Rice,Snack,770,37.4,107.2,33.3
Tandoori Paratha,Breakfast,627,34.8,80.4,16.1
Masala Upma,Dinner,167,38.3,118.5,22.6
Steamed Smoothie,Dinner,163,42.1,29.4,12.1
Herb Dosa,Breakfast,750,49.8,91.8,26.8
Low Fat White Rice,Lunch,586,21.6,45.0,12.1
Curry Smoothie,Dinner,496,19.8,53.7,9.4
Tandoori Biryani,Dinner,442,18.8,44.4,39.5
Low Fat Dal,Snack,302,25.1,22.7,17.9
Butter Lentil,Lunch,800,12.5,111.6,27.5
Curry Brown Rice,Breakfast,430,11.6,84.5,10.9
Vegan Paneer,Lunch,408,49.1,78.0,27.2
Low Fat Oats,Dinner,346,16.4,97.1,11.4
High Protein Soup,Breakfast,718,41.6,32.2,22.6
Fried Brown Rice,Lunch,631,17.7,47.7,7.2
Dry White Rice,Dinner,554,26.5,107.6,19.5
Butter Smoothie,Breakfast,600,37.4,47.9,28.6
Masala Rajma,Breakfast,640,33.3,71.0,6.7
Dry Paneer,Lunch,730,22.5,110.0,27.9
Herb Mushroom,Dinner,776,48.2,43.8,28.6
Butter Chicken,Dinner,782,5.7,22.1,25.3
Vegan Mushroom,Dinner,440,46.5,79.9,28.3
Dry Quinoa,Breakfast,657,31.3,18.9,31.9
Curry Lentil,Dinner,418,28.1,90.9,12.4
High Protein Paneer,Snack,540,45.9,38.6,36.8
Mild Mushroom,Dinner,487,15.8,10.1,22.5
Butter Tofu,Breakfast,382,30.5,93.8,33.0
